"Gene"	"N"	"Freq"
"Homsap TRBV20-1"	1673	7.05133608699317
"Homsap TRBV6-1"	1572	6.62564275478378
"Homsap TRBV19"	1482	6.24631206271601
"Homsap TRBV12-3"	1446	6.0945797858889
"Homsap TRBV6-5"	1418	5.97656579280115
"Homsap TRBV5-1"	1358	5.72367866475596
"Homsap TRBV30"	1196	5.04088341903397
"Homsap TRBV6-6"	1119	4.71634493804265
"Homsap TRBV2"	901	3.79752170614516
"Homsap TRBV27"	774	3.26224395178285
"Homsap TRBV29-1"	753	3.17373345696704
"Homsap TRBV11-2"	706	2.97563853999831
"Homsap TRBV10-3"	653	2.75225491022507
"Homsap TRBV5-4"	590	2.48672342577763
"Homsap TRBV4-1"	577	2.43193121470117
"Homsap TRBV7-8"	547	2.30548765067858
"Homsap TRBV18"	528	2.22540672679761
"Homsap TRBV5-6"	506	2.13268144651437
"Homsap TRBV7-9"	506	2.13268144651437
"Homsap TRBV5-5"	505	2.12846666104695
"Homsap TRBV15"	490	2.06524487903566
"Homsap TRBV7-2"	414	1.74492118351176
"Homsap TRBV28"	393	1.65641068869595
"Homsap TRBV6-4"	390	1.64376633229369
"Homsap TRBV6-2"	359	1.51310798280368
"Homsap TRBV4-2"	351	1.47938969906432
"Homsap TRBV24-1"	302	1.27286521116075
"Homsap TRBV12-5"	271	1.14220686167074
"Homsap TRBV10-2"	261	1.10005900699654
"Homsap TRBV25-1"	245	1.03262243951783
"Homsap TRBV11-3"	215	0.906178875495237
"Homsap TRBV11-1"	175	0.737587456798449
"Homsap TRBV14"	173	0.72915788586361
"Homsap TRBV7-6"	171	0.72072831492877
"Homsap TRBV13"	145	0.611143892775858
"Homsap TRBV10-1"	117	0.493129899688106
"Homsap TRBV5-8"	107	0.450982045013909
"Homsap TRBV7-3"	98	0.413048975807131
"Homsap TRBV9"	59	0.248672342577763
"Homsap TRBV3-1"	49	0.206524487903566
"Homsap TRBV7-7"	46	0.193880131501307
"Homsap TRBV7-4"	39	0.164376633229369
"Homsap TRBV6-8"	25	0.105369636685493
"Homsap TRBV6-9"	21	0.0885104948158139
