"Gene"	"N"	"Freq"
"Homsap TRBV12-3"	971	5.60267728348047
"Homsap TRBV20-1"	927	5.34879695343604
"Homsap TRBV19"	903	5.21031677341181
"Homsap TRBV5-1"	893	5.15261669840171
"Homsap TRBV6-5"	838	4.83526628584617
"Homsap TRBV28"	830	4.78910622583809
"Homsap TRBV6-1"	788	4.54676591079568
"Homsap TRBV6-2"	602	3.47354451560787
"Homsap TRBV5-6"	593	3.42161444809878
"Homsap TRBV27"	591	3.41007443309676
"Homsap TRBV4-1"	565	3.26005423807051
"Homsap TRBV6-6"	561	3.23697420806647
"Homsap TRBV5-4"	545	3.14465408805031
"Homsap TRBV7-9"	544	3.1388840805493
"Homsap TRBV7-2"	542	3.12734406554729
"Homsap TRBV30"	498	2.87346373550286
"Homsap TRBV29-1"	492	2.8388436904968
"Homsap TRBV18"	458	2.64266343546247
"Homsap TRBV11-2"	442	2.55034331544631
"Homsap TRBV10-3"	432	2.49264324043621
"Homsap TRBV4-3"	409	2.35993306791299
"Homsap TRBV2"	401	2.31377300790491
"Homsap TRBV7-8"	397	2.29069297790087
"Homsap TRBV6-4"	361	2.08297270786452
"Homsap TRBV4-2"	308	1.777162310311
"Homsap TRBV5-5"	301	1.73677225780394
"Homsap TRBV15"	264	1.52328198026657
"Homsap TRBV11-3"	220	1.26940165022215
"Homsap TRBV24-1"	219	1.26363164272114
"Homsap TRBV7-6"	183	1.05591137268478
"Homsap TRBV12-5"	178	1.02706133517974
"Homsap TRBV13"	157	0.905891177658531
"Homsap TRBV7-3"	124	0.715480930125209
"Homsap TRBV5-8"	113	0.652010847614102
"Homsap TRBV11-1"	102	0.588540765102995
"Homsap TRBV9"	90	0.519300675090878
"Homsap TRBV10-2"	85	0.490450637585829
"Homsap TRBV14"	80	0.46160060008078
"Homsap TRBV10-1"	79	0.45583059257977
"Homsap TRBV25-1"	78	0.450060585078761
"Homsap TRBV7-7"	52	0.300040390052507
"Homsap TRBV6-8"	37	0.213490277537361
"Homsap TRBV7-4"	37	0.213490277537361
"Homsap TRBV3-1"	24	0.138480180024234
"Homsap TRBV6-9"	14	0.0807801050141365
"Homsap TRBV12-4"	3	0.0173100225030293
