"Gene"	"N"	"Freq"
"Homsap TRBV29-1"	864	10.4398260029
"Homsap TRBV28"	635	7.67278878685355
"Homsap TRBV12-3"	629	7.60028999516675
"Homsap TRBV19"	573	6.9236346060899
"Homsap TRBV6-5"	534	6.45239246012566
"Homsap TRBV5-1"	469	5.66698888351861
"Homsap TRBV27"	386	4.66408893185114
"Homsap TRBV6-1"	379	4.57950700821653
"Homsap TRBV10-3"	358	4.32576123731271
"Homsap TRBV18"	263	3.17786370227163
"Homsap TRBV10-2"	243	2.93620106331561
"Homsap TRBV20-1"	226	2.730787820203
"Homsap TRBV7-2"	225	2.7187046882552
"Homsap TRBV6-4"	223	2.69453842435959
"Homsap TRBV5-4"	198	2.39246012566457
"Homsap TRBV6-6"	193	2.33204446592557
"Homsap TRBV5-5"	189	2.28371193813436
"Homsap TRBV5-6"	189	2.28371193813436
"Homsap TRBV2"	169	2.04204929917835
"Homsap TRBV7-9"	158	1.90913484775254
"Homsap TRBV11-2"	147	1.77622039632673
"Homsap TRBV15"	138	1.66747220879652
"Homsap TRBV24-1"	123	1.48622522957951
"Homsap TRBV30"	118	1.4258095698405
"Homsap TRBV4-1"	107	1.29289511841469
"Homsap TRBV6-2"	103	1.24456259062349
"Homsap TRBV7-8"	80	0.96665055582407
"Homsap TRBV14"	71	0.857902368293862
"Homsap TRBV4-2"	71	0.857902368293862
"Homsap TRBV4-3"	55	0.664572257129048
"Homsap TRBV11-1"	27	0.326244562590624
"Homsap TRBV13"	27	0.326244562590624
"Homsap TRBV12-5"	25	0.302078298695022
"Homsap TRBV25-1"	17	0.205413243112615
"Homsap TRBV3-1"	14	0.169163847269212
"Homsap TRBV7-3"	12	0.14499758337361
"Homsap TRBV11-3"	10	0.120831319478009
"Homsap TRBV9"	7	0.0845819236346061
"Homsap TRBV10-1"	6	0.0724987916868052
"Homsap TRBV7-6"	6	0.0724987916868052
"Homsap TRBV5-8"	3	0.0362493958434026
"Homsap TRBV12-4"	2	0.0241662638956017
"Homsap TRBV7-7"	2	0.0241662638956017
"Homsap TRBV6-9"	1	0.0120831319478009
"Homsap TRBV7-4"	1	0.0120831319478009
