"Gene"	"N"	"Freq"
"Homsap TRBV12-3"	1352	7.98205219034124
"Homsap TRBV27"	892	5.26626520250325
"Homsap TRBV6-1"	812	4.79395442200968
"Homsap TRBV6-5"	804	4.74672334396033
"Homsap TRBV6-2"	728	4.29802810249144
"Homsap TRBV5-1"	687	4.05596882748849
"Homsap TRBV10-3"	677	3.99692997992679
"Homsap TRBV19"	673	3.97331444090211
"Homsap TRBV28"	625	3.68992797260597
"Homsap TRBV7-2"	614	3.62498524028811
"Homsap TRBV7-8"	574	3.38882985004133
"Homsap TRBV5-4"	568	3.35340654150431
"Homsap TRBV7-9"	564	3.32979100247963
"Homsap TRBV5-6"	527	3.11134726650136
"Homsap TRBV6-6"	522	3.08182784272051
"Homsap TRBV4-3"	509	3.00507734089031
"Homsap TRBV11-2"	498	2.94013460857244
"Homsap TRBV29-1"	459	2.70988310308183
"Homsap TRBV20-1"	456	2.69217144881332
"Homsap TRBV5-5"	434	2.56228598417759
"Homsap TRBV4-1"	372	2.19624512929508
"Homsap TRBV4-2"	276	1.6294721927028
"Homsap TRBV18"	270	1.59404888416578
"Homsap TRBV2"	261	1.54091392136025
"Homsap TRBV15"	257	1.51729838233558
"Homsap TRBV30"	243	1.4346439957492
"Homsap TRBV24-1"	239	1.41102845672452
"Homsap TRBV6-4"	235	1.38741291769985
"Homsap TRBV10-2"	210	1.23981579879561
"Homsap TRBV12-5"	199	1.17487306647774
"Homsap TRBV7-6"	184	1.0863147951352
"Homsap TRBV5-8"	180	1.06269925611052
"Homsap TRBV10-1"	178	1.05089148659818
"Homsap TRBV13"	171	1.00956429330499
"Homsap TRBV11-3"	154	0.909198252450112
"Homsap TRBV9"	97	0.572676821348447
"Homsap TRBV14"	87	0.513637973786752
"Homsap TRBV7-4"	83	0.490022434762073
"Homsap TRBV6-8"	73	0.430983587200378
"Homsap TRBV6-9"	63	0.371944739638682
"Homsap TRBV3-1"	46	0.2715786987838
"Homsap TRBV25-1"	42	0.247963159759122
"Homsap TRBV7-7"	24	0.141693234148069
"Homsap TRBV11-1"	10	0.0590388475616956
"Homsap TRBV12-4"	5	0.0295194237808478
"Homsap TRBV16"	3	0.0177116542685087
"Homsap TRBV7-3"	1	0.00590388475616956
