"Gene"	"N"	"Freq"
"Homsap TRBV12-3"	1120	7.37133078846913
"Homsap TRBV19"	1049	6.90404106884296
"Homsap TRBV6-1"	1027	6.75924707121232
"Homsap TRBV27"	835	5.49559036461761
"Homsap TRBV5-1"	775	5.10069764380677
"Homsap TRBV6-5"	766	5.04146373568514
"Homsap TRBV5-6"	749	4.92957746478873
"Homsap TRBV6-2"	554	3.64617612215348
"Homsap TRBV5-4"	480	3.15914176648677
"Homsap TRBV29-1"	463	3.04725549559036
"Homsap TRBV10-3"	433	2.84980913518494
"Homsap TRBV7-2"	431	2.83664604449125
"Homsap TRBV6-6"	422	2.77741213636962
"Homsap TRBV11-2"	399	2.62603659339213
"Homsap TRBV6-4"	398	2.61945504804528
"Homsap TRBV4-1"	392	2.5799657759642
"Homsap TRBV4-2"	382	2.51415032249572
"Homsap TRBV18"	366	2.40884559694616
"Homsap TRBV5-5"	349	2.29695932604976
"Homsap TRBV7-8"	333	2.1916546005002
"Homsap TRBV7-9"	329	2.16532841911281
"Homsap TRBV20-1"	323	2.12583914703172
"Homsap TRBV15"	296	1.94813742266684
"Homsap TRBV4-3"	259	1.70462024483349
"Homsap TRBV28"	247	1.62564170067132
"Homsap TRBV30"	226	1.48742924838752
"Homsap TRBV11-3"	213	1.4018691588785
"Homsap TRBV24-1"	211	1.38870606818481
"Homsap TRBV2"	188	1.23733052520732
"Homsap TRBV12-5"	172	1.13202579965776
"Homsap TRBV7-4"	132	0.868763985783862
"Homsap TRBV6-9"	128	0.842437804396472
"Homsap TRBV13"	110	0.723969988153218
"Homsap TRBV7-3"	87	0.572594445175727
"Homsap TRBV25-1"	84	0.552849809135185
"Homsap TRBV7-6"	76	0.500197446360405
"Homsap TRBV14"	71	0.467289719626168
"Homsap TRBV10-1"	59	0.388311175463999
"Homsap TRBV10-2"	55	0.361984994076609
"Homsap TRBV6-8"	54	0.355403448729762
"Homsap TRBV9"	46	0.302751085954982
"Homsap TRBV11-1"	33	0.217190996445966
"Homsap TRBV3-1"	25	0.164538633671186
"Homsap TRBV12-4"	22	0.144793997630644
"Homsap TRBV5-8"	20	0.131630906936949
"Homsap TRBV7-7"	4	0.0263261813873898
"Homsap TRBV16"	1	0.00658154534684744
